Date,Open,High,Low,Close
4/2/1986,235.139999,235.710007,233.399994,235.710007
4/3/1986,235.710007,236.419998,232.070007,232.470001
4/4/1986,232.470001,232.559998,228.320007,228.690002
4/7/1986,228.690002,228.830002,226.300003,228.630005
4/8/1986,228.630005,233.699997,228.630005,233.520004
4/9/1986,233.520004,235.570007,232.130005,233.75
4/10/1986,233.75,236.539993,233.75,236.440002
4/11/1986,236.440002,237.850006,235.130005,235.970001
4/14/1986,235.970001,237.479996,235.429993,237.279999
4/15/1986,237.279999,238.089996,236.639999,237.729996
4/16/1986,237.729996,242.570007,237.729996,242.220001
4/17/1986,242.220001,243.360001,241.889999,243.029999
4/18/1986,243.029999,243.470001,241.740005,242.380005
4/21/1986,242.380005,244.779999,241.880005,244.740005
4/22/1986,244.740005,245.470001,241.300003,242.419998
4/23/1986,242.419998,242.419998,240.080002,241.75
4/24/1986,241.75,243.130005,241.649994,242.020004
4/25/1986,242.020004,242.800003,240.910004,242.289993
4/28/1986,242.289993,243.080002,241.229996,243.080002
4/29/1986,243.080002,243.570007,239.229996,240.509995
4/30/1986,240.520004,240.520004,235.259995,235.520004
5/1/1986,235.520004,236.009995,234.210007,235.160004
5/2/1986,235.160004,236.520004,234.149994,234.789993
5/5/1986,234.789993,237.729996,234.789993,237.729996
5/6/1986,237.729996,238.279999,236.259995,237.240005
5/7/1986,236.559998,237.240005,233.979996,236.080002
5/8/1986,236.080002,237.960007,236.080002,237.130005
5/9/1986,237.130005,238.009995,235.850006,237.850006
5/12/1986,237.850006,238.529999,237.020004,237.580002
5/13/1986,237.580002,237.869995,236.020004,236.410004
5/14/1986,236.410004,237.539993,235.850006,237.539993
5/15/1986,237.539993,237.539993,233.929993,234.429993
5/16/1986,234.429993,234.429993,232.259995,232.759995
5/19/1986,232.759995,233.539993,232.410004,233.199997
5/20/1986,233.199997,236.119995,232.580002,236.110001
5/21/1986,236.110001,236.830002,235.449997,235.449997
5/22/1986,235.449997,240.25,235.449997,240.119995
5/23/1986,240.119995,242.160004,240.119995,241.350006
5/27/1986,241.350006,244.759995,241.350006,244.75
5/28/1986,244.75,247.399994,244.75,246.630005
5/29/1986,246.630005,248.320007,245.289993,247.979996
5/30/1986,247.979996,249.190002,246.429993,247.350006
6/2/1986,246.039993,247.740005,243.830002,245.039993
6/3/1986,245.039993,245.509995,243.669998,245.509995
6/4/1986,245.509995,246.300003,242.589996,243.940002
6/5/1986,243.940002,245.660004,243.410004,245.649994
6/6/1986,245.649994,246.070007,244.429993,245.669998
6/9/1986,245.669998,245.669998,239.679993,239.960007
6/10/1986,239.960007,240.080002,238.229996,239.580002
6/11/1986,239.580002,241.130005,239.210007,241.130005
6/12/1986,241.240005,241.639999,240.699997,241.490005
6/13/1986,241.710007,245.910004,241.710007,245.729996
6/16/1986,245.729996,246.5,245.169998,246.130005
6/17/1986,246.130005,246.259995,243.600006,244.350006
6/18/1986,244.350006,245.25,242.570007,244.990005
6/19/1986,244.990005,245.800003,244.050003,244.059998
6/20/1986,244.059998,247.600006,243.979996,247.580002
6/23/1986,247.580002,247.580002,244.449997,245.259995
6/24/1986,245.259995,248.259995,244.529999,247.029999
6/25/1986,247.029999,250.130005,247.029999,248.929993
6/26/1986,248.929993,249.429993,247.720001,248.740005
6/27/1986,248.740005,249.740005,248.740005,249.600006
6/30/1986,249.600006,251.809998,249.600006,250.839996
7/1/1986,250.669998,252.039993,250.529999,252.039993
7/2/1986,252.039993,253.199997,251.789993,252.699997
7/3/1986,252.699997,252.940002,251.229996,251.789993
7/7/1986,251.789993,251.809998,243.630005,244.050003
7/8/1986,244.050003,244.059998,239.070007,241.589996
7/9/1986,241.589996,243.070007,241.460007,242.820007
7/10/1986,242.820007,243.440002,239.660004,243.009995
7/11/1986,243.009995,243.479996,241.679993,242.220001
7/14/1986,242.220001,242.220001,238.039993,238.110001
7/15/1986,238.089996,238.119995,233.600006,233.660004
7/16/1986,233.660004,236.190002,233.660004,235.009995
7/17/1986,235.009995,236.649994,235.009995,236.070007
7/18/1986,236.070007,238.220001,233.940002,236.360001
7/21/1986,236.360001,236.449997,235.529999,236.240005
7/22/1986,236.240005,238.419998,235.919998,238.179993
7/23/1986,238.190002,239.25,238.169998,238.669998
7/24/1986,238.690002,239.050003,237.320007,237.949997
7/25/1986,237.990005,240.360001,237.949997,240.220001
7/28/1986,240.199997,240.25,235.229996,236.009995
7/29/1986,235.720001,236.009995,234.399994,234.550003
7/30/1986,234.570007,237.380005,233.070007,236.589996
7/31/1986,236.589996,236.919998,235.889999,236.119995
8/1/1986,236.119995,236.889999,234.589996,234.910004
8/4/1986,234.910004,236.860001,231.919998,235.990005
8/5/1986,235.990005,238.309998,235.970001,237.029999
8/6/1986,237.029999,237.350006,235.479996,236.839996
8/7/1986,236.839996,238.020004,236.309998,237.039993
8/8/1986,237.039993,238.059998,236.369995,236.880005
8/11/1986,236.880005,241.199997,236.869995,240.679993
8/12/1986,240.679993,243.369995,240.350006,243.339996
8/13/1986,243.339996,246.509995,243.059998,245.669998
8/14/1986,245.669998,246.789993,245.529999,246.25
8/15/1986,246.25,247.149994,245.699997,247.149994
8/18/1986,247.149994,247.830002,245.479996,247.380005
8/19/1986,247.380005,247.419998,245.820007,246.509995
8/20/1986,246.529999,249.770004,246.509995,249.770004
8/21/1986,249.770004,250.449997,249.110001,249.669998
8/22/1986,249.669998,250.610001,249.270004,250.190002
8/25/1986,250.190002,250.259995,247.759995,247.809998
8/26/1986,247.809998,252.910004,247.809998,252.839996
8/27/1986,252.839996,254.240005,252.660004,253.300003
8/28/1986,253.300003,253.669998,251.910004,252.839996
8/29/1986,252.839996,254.070007,251.729996,252.929993
9/2/1986,252.929993,253.300003,248.139999,248.520004
9/3/1986,248.520004,250.080002,247.589996,250.080002
9/4/1986,250.080002,254.009995,250.029999,253.830002
9/5/1986,253.830002,254.130005,250.330002,250.470001
9/8/1986,250.470001,250.470001,247.020004,248.139999
9/9/1986,248.139999,250.210007,246.940002,247.669998
9/10/1986,247.669998,247.759995,246.110001,247.059998
9/11/1986,247.059998,247.059998,234.669998,235.179993
9/12/1986,235.179993,235.449997,228.740005,230.669998
9/15/1986,230.669998,232.820007,229.440002,231.940002
9/16/1986,231.929993,231.940002,228.320007,231.720001
9/17/1986,231.729996,233.809998,231.380005,231.679993
9/18/1986,231.669998,232.869995,230.570007,232.309998
9/19/1986,232.300003,232.309998,230.690002,232.210007
9/22/1986,232.199997,234.929993,232.199997,234.929993
9/23/1986,234.960007,235.880005,234.5,235.669998
9/24/1986,235.660004,237.059998,235.529999,236.279999
9/25/1986,231.830002,236.279999,230.669998,231.830002
9/26/1986,231.830002,233.679993,230.639999,232.229996
9/29/1986,232.229996,232.229996,228.080002,229.910004
9/30/1986,229.910004,233.009995,229.910004,231.320007
10/1/1986,231.320007,234.619995,231.320007,233.600006
10/2/1986,233.600006,234.330002,232.770004,233.919998
10/3/1986,233.919998,236.160004,232.789993,233.710007
10/6/1986,233.710007,235.339996,233.169998,234.779999
10/7/1986,234.740005,235.179993,233.460007,234.410004
10/8/1986,234.410004,236.839996,233.679993,236.679993
10/9/1986,236.669998,238.199997,235.720001,235.850006
